"Installments Santander","Raty Santander"
"installments","rat"
"on","po"
"Number of installments","Ilość rat"
"Percent","Procent"
"Shop number","Numer sklepu"
"Installment rates","Stawki ratalne"
"Add","Dodaj"
"Credit application number / decision is: ","Numer wniosku kredytowego/decyzji to: "
"See how to buy in installments","Zobacz jak kupić na raty"
"Calculate installment!","Oblicz ratę!"
"Santander agreement configuration","Konfiguracja zgód santander"
"Santander agreement ID","ID zgody powiązanej z santander"
"Minimum Product Price","Minimalna wartość produktu"
"Maximum Product Price","Maksymalna wartość produktu"
"Minimum Order Total","Minimalna wartość zamówienia"
"Maximum Order Total","Maksymalna wartość zamówienia"
"Installment Calculate Button","Przyciski do kalkulacji eRat"
"How to buy with eRata?","Jak kupić na eRaty?"
"Configuration","Konfiguracja"
"Show as banner","Pokaż jako baner"
"Banner and link to landing page","Baner i link do landing page"
"Show banner eRaty","Pokazuj baner eRaty"
"Show link to landing page eRaty","Włącz link do landing page"
